MONGODB | Adding localhost:27017 to the cluster.
MONGODB | Adding localhost:27017 to the cluster.
MONGODB | Adding localhost:27017 to the cluster.
MONGODB | localhost:27017 | rails_app_development.find | STARTED | {"find"=>"companies", "filter"=>{"_id"=>BSON::ObjectId('569c3d5c518c5c1f220000e5')}}
MONGODB | localhost:27017 | rails_app_development.find | SUCCEEDED | 0.000822537s
MONGODB | localhost:27017 | rails_app_development.find | STARTED | {"find"=>"companies", "filter"=>{"_id"=>BSON::ObjectId('569c3d5c518c5c1f220000a1')}}
MONGODB | localhost:27017 | rails_app_development.find | SUCCEEDED | 0.002248836s
MONGODB | localhost:27017 | rails_app_development.find | STARTED | {"find"=>"companies", "filter"=>{"_id"=>BSON::ObjectId('569c3d5c518c5c1f2200012d')}}
MONGODB | localhost:27017 | rails_app_development.find | STARTED | {"find"=>"companies", "filter"=>{"_id"=>BSON::ObjectId('569c3d5c518c5c1f22000149')}}
MONGODB | localhost:27017 | rails_app_development.find | SUCCEEDED | 0.000864534s
MONGODB | localhost:27017 | rails_app_development.find | SUCCEEDED | 0.0010430139999999999s
MONGODB | localhost:27017 | rails_app_development.find | STARTED | {"find"=>"companies", "filter"=>{"_id"=>BSON::ObjectId('569c3d5c518c5c1f2200015d')}}
MONGODB | localhost:27017 | rails_app_development.find | SUCCEEDED | 0.00038952500000000005s
MONGODB | localhost:27017 | rails_app_development.find | STARTED | {"find"=>"companies", "filter"=>{"_id"=>BSON::ObjectId('569c3d5c518c5c1f22000061')}}
MONGODB | localhost:27017 | rails_app_development.find | SUCCEEDED | 0.000314637s
MONGODB | localhost:27017 | rails_app_development.find | STARTED | {"find"=>"companies", "filter"=>{"_id"=>BSON::ObjectId('569c3d5c518c5c1f220001d3')}}
MONGODB | localhost:27017 | rails_app_development.find | STARTED | {"find"=>"companies", "filter"=>{"_id"=>BSON::ObjectId('569c3ffd518c5c220b0000cf')}}
MONGODB | localhost:27017 | rails_app_development.find | SUCCEEDED | 0.002271595s
MONGODB | localhost:27017 | rails_app_development.find | SUCCEEDED | 0.001306008s
MONGODB | localhost:27017 | rails_app_development.find | STARTED | {"find"=>"companies", "filter"=>{"_id"=>BSON::ObjectId('569c3ffd518c5c220b0001b3')}}
MONGODB | localhost:27017 | rails_app_development.find | STARTED | {"find"=>"companies", "filter"=>{"_id"=>BSON::ObjectId('569c3cb4518c5c1d8f00010d')}}
MONGODB | localhost:27017 | rails_app_development.find | STARTED | {"find"=>"companies", "filter"=>{"_id"=>BSON::ObjectId('569c3cb3518c5c1d8f00001b')}}
MONGODB | localhost:27017 | rails_app_development.find | SUCCEEDED | 0.001038026s
MONGODB | localhost:27017 | rails_app_development.find | SUCCEEDED | 0.00023237399999999998s
MONGODB | localhost:27017 | rails_app_development.find | SUCCEEDED | 0.0008422159999999999s
MONGODB | localhost:27017 | rails_app_development.find | STARTED | {"find"=>"companies", "filter"=>{"_id"=>BSON::ObjectId('569c3cb4518c5c1d8f0000e3')}}
MONGODB | localhost:27017 | rails_app_development.find | STARTED | {"find"=>"companies", "filter"=>{"_id"=>BSON::ObjectId('569c3cb3518c5c1d8f000039')}}
MONGODB | localhost:27017 | rails_app_development.find | SUCCEEDED | 0.001073949s
MONGODB | localhost:27017 | rails_app_development.find | STARTED | {"find"=>"companies", "filter"=>{"_id"=>BSON::ObjectId('569c3cb4518c5c1d8f000185')}}
MONGODB | localhost:27017 | rails_app_development.find | SUCCEEDED | 0.00093394s
MONGODB | localhost:27017 | rails_app_development.find | SUCCEEDED | 0.000192972s
MONGODB | localhost:27017 | rails_app_development.find | STARTED | {"find"=>"companies", "filter"=>{"_id"=>BSON::ObjectId('569c3cb4518c5c1d8f0000dd')}}
MONGODB | localhost:27017 | rails_app_development.find | SUCCEEDED | 0.000706045s
MONGODB | localhost:27017 | rails_app_development.find | STARTED | {"find"=>"companies", "filter"=>{"_id"=>BSON::ObjectId('569c3cb3518c5c1d8f00004b')}}
MONGODB | localhost:27017 | rails_app_development.find | SUCCEEDED | 0.000539151s
MONGODB | localhost:27017 | rails_app_development.find | STARTED | {"find"=>"companies", "filter"=>{"_id"=>BSON::ObjectId('569c3cb4518c5c1d8f0000a1')}}
MONGODB | localhost:27017 | rails_app_development.find | SUCCEEDED | 0.0009097970000000001s
MONGODB | localhost:27017 | rails_app_development.find | STARTED | {"find"=>"companies", "filter"=>{"_id"=>BSON::ObjectId('569c3cb3518c5c1d8f00001d')}}
MONGODB | localhost:27017 | rails_app_development.find | SUCCEEDED | 0.00026476799999999997s
MONGODB | localhost:27017 | rails_app_development.find | STARTED | {"find"=>"companies", "filter"=>{"_id"=>BSON::ObjectId('569c3cb3518c5c1d8f000063')}}
MONGODB | localhost:27017 | rails_app_development.find | SUCCEEDED | 0.000748885s
MONGODB | localhost:27017 | rails_app_development.find | STARTED | {"find"=>"companies", "filter"=>{"_id"=>BSON::ObjectId('569c3cb4518c5c1d8f000105')}}
MONGODB | localhost:27017 | rails_app_development.find | SUCCEEDED | 0.00023037s
MONGODB | localhost:27017 | rails_app_development.find | STARTED | {"find"=>"companies", "filter"=>{"_id"=>BSON::ObjectId('569c3cb3518c5c1d8f00006b')}}
MONGODB | localhost:27017 | rails_app_development.find | SUCCEEDED | 0.000235519s
MONGODB | localhost:27017 | rails_app_development.find | STARTED | {"find"=>"companies", "filter"=>{"_id"=>BSON::ObjectId('569c3cb4518c5c1d8f0000d9')}}
MONGODB | localhost:27017 | rails_app_development.find | SUCCEEDED | 0.000276517s
MONGODB | localhost:27017 | rails_app_development.find | STARTED | {"find"=>"companies", "filter"=>{"_id"=>BSON::ObjectId('569c3cb4518c5c1d8f000177')}}
MONGODB | localhost:27017 | rails_app_development.find | SUCCEEDED | 0.00039981s
